Name,Address,Operation,Homepage,Type,Rate,Img
강길도낙지마을,대전 대덕구 선비마을로 9 (우)34404,매일 11:00 ~ 21:00,https://place.map.kakao.com/19583961,"해물,생선",4.1,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F859055B194B9434B854CA5107C461E91
이종구항아리짬뽕 오정점,대전 대덕구 한밭대로1006번길 11 1층 (우)34437,화~일 10:00 ~ 21:00,https://place.map.kakao.com/573796960,중국요리,4.2,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F180761ae08c419ca26ae6577a6a9b0fb26eddc14%3Foriginal
양평칼국수콩국수 본점,대전 대덕구 중리남로28번길 1 (우)34390,월~토 11:30 ~ 21:00,https://place.map.kakao.com/12470643,칼국수,3.8,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F61208966C2884817814C8C3292EDEE8E
망골고개식당,대전 대덕구 석봉로3번길 41 (우)34317,월~토 10:30 ~ 19:00,https://place.map.kakao.com/10347841,국수,4.5,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF8FB42E9DD5840B69C35EA8F6BAA6626
홍콩삼겹살,대전 대덕구 계족산로81번길 11 (우)34409,매일 16:00 ~ 22:00,https://place.map.kakao.com/10970069,삼겹살,4.7,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA808B2FB457543FABD816AC9A1CC2FE1
은혜식당,대전 대덕구 한밭대로1159번길 11 1층 (우)34395,매일 10:30 ~ 20:30,https://place.map.kakao.com/11183102,한식,3.8,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3600FE29E87E4A04885AB05AF471B51F
담,대전 대덕구 대청로424번안길 56 (우)34316,매일 10:00 ~ 22:00,https://place.map.kakao.com/2005200408,카페,4.1,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF5E38EAAB0204299AC827CBDAF0BEFDA
안골식당,대전 대덕구 대청로570번길 77 (우)34316,매일 11:00 ~ 21:00,https://place.map.kakao.com/11827296,"육류,고기",4.6,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F45594C5BD08F4F1C80A5F2C54B2CACCD
무한육가 대전대화점,대전 대덕구 대화로 36 1층 (우)34364,매일 11:30 ~ 22:30,https://place.map.kakao.com/687547296,"육류,고기",4.5,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F2A05D21B824F4ADEB5976731FE30F06D
황해면옥,대전 대덕구 한남로149번길 1 1층 (우)34443,매일 11:00 ~ 21:00,https://place.map.kakao.com/21339303,냉면,3.9,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9CCA1CF110FF48A89947F0B6B9AEA45A
야호식당,대전 대덕구 대청호수로 1869 (우)34316,월요일,https://place.map.kakao.com/8419621,장어,4.9,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7C7F8E3045F64FA885E9A6FF2133E3F7
맥도날드 대전한남대DT점,대전 대덕구 한밭대로 1102 (우)34426,매일 00:00 ~ 24:00,https://place.map.kakao.com/25070665,맥도날드,2.2,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F871FDEC4448C4FF2A1954C614457AD46
청담골,대전 대덕구 덕암로265번길 45 1층 (우)34330,일요일,https://place.map.kakao.com/10851100,"사철탕,영양탕",4.8,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA5D0B0E288554CAA8DC1A307E8D6BFFB
시멘트,대전 대덕구 한남로12번길 21 1층 (우)34431,매일 11:00 ~ 21:00,https://place.map.kakao.com/1751285346,양식,4.5,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8445A5BA697A4AC58EF04C87A0EEA1E1
우시장 한우전문정육식당,대전 대덕구 송촌북로19번길 22 (우)34410,월~토 11:30 ~ 21:50,https://place.map.kakao.com/8026339,"육류,고기",3.8,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB943C224D0AD435A8D0EBFBBEB7453C0
미루,대전 대덕구 송촌남로 63 1층 (우)34424,"월,화,목,금,토,일 11:00 ~ 21:00",https://place.map.kakao.com/21828866,중국요리,4.3,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0A7004EA2BF9404D895167A2043C5259
황금칼국수,대전 대덕구 대전로 1357 (우)34359,월~토 11:00 ~ 21:00,https://place.map.kakao.com/1789222172,칼국수,5.0,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FFB84B3A587E6451A85334B7A3D7DA9D7
한마음정육식당 대전와동점,대전 대덕구 장동로 75 1층 (우)34346,매일 12:00 ~ 22:30,https://place.map.kakao.com/487943693,"육류,고기",4.9,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FCC567EAB1F3E4DB286DAB716A1F4A362
대청골순대국밥,대전 대덕구 대청로 10 1층 (우)34311,매일 00:00 ~ 24:00,https://place.map.kakao.com/1411188890,순대,3.1,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD5E7338AC4E045E1A81084493452F9B1
이가촌,대전 대덕구 아리랑로 141 (우)34359,토 11:00 ~ 21:00,https://place.map.kakao.com/8493783,"육류,고기",3.4,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F44E101C745EE49ED8A2735873B2A8490
신탄회센터,대전 대덕구 신탄진로804번길 19 (우)34311,매일 10:00 ~ 23:00,https://place.map.kakao.com/9905388,회,5.0,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fbe730a41ef18df847234566fa8e9aed59cff14a3%3Foriginal
콩마을,대전 대덕구 신탄진동로23번길 31 (우)34311,매일 06:00 ~ 22:00,https://place.map.kakao.com/10824564,두부전문점,4.1,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F10dfba78da997cc9bceb4bcb364a38c7e0782294%3Foriginal
스타벅스 대전신탄진DT점,대전 대덕구 대덕대로 1544 (우)34317,매일 07:00 ~ 22:00,https://place.map.kakao.com/577886870,스타벅스,4.0,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD04A3E0F086B459EB8AA805BECCDD86A
항아리보쌈 송촌점,대전 대덕구 송촌북로16번길 25 (우)34408,매일 12:00 ~ 23:00,https://place.map.kakao.com/24624183,"족발,보쌈",3.8,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEDF67372D96E447FA0459FC03C8D43B7
